id;device_info;latitude;longitude;date;day;hours;employee_id;company_id;status;last_modified;last_modified_by
1;Creative cross-platform;66533;68313;2023-03-13T05:31:50;disintermediate directional;frictionless Guernsey;regional;33242;productize Account;2023-03-12T18:15:25;model Games channels
2;array conglomeration;325;44197;2023-03-12T12:15:03;Facilitator Union Manor;Small paradigms digital;orchid Cambridgeshire Afghanistan;53610;Rubber 1080p Shirt;2023-03-13T08:19:33;Shirt Kansas
3;Practical connect Checking;45530;81799;2023-03-12T21:14:35;overriding Granite;Sleek repurpose;Hills Practical sensor;70933;Ergonomic;2023-03-12T18:55:29;approach Fresh
4;input software;69742;11504;2023-03-12T14:08:33;deposit;Islands;Wall Markets;20457;Group California;2023-03-12T20:51:35;optimal Digitized
5;wireless;23360;13700;2023-03-12T21:58:41;methodical Sports;bus;Keyboard;8030;Compatible harness Berkshire;2023-03-13T05:53:55;Shoal
6;Account Plastic Junctions;54735;6023;2023-03-12T17:12:29;1080p Optimization;Steel needs-based;flexibility;31698;compressing driver;2023-03-12T21:59:09;Ethiopia Seamless payment
7;Keyboard Games mesh;25941;80759;2023-03-12T15:50:15;IB;Lakes Rubber;Consultant;25946;Granite compressing;2023-03-12T09:01:20;Alabama productize
8;Bike Card Fresh;31417;66169;2023-03-13T01:23:05;help-desk deposit;Norfolk fuchsia;Ergonomic Inlet;93024;Licensed Designer optical;2023-03-12T10:06:54;ubiquitous schemas
9;Stravenue lime Auto;7031;22365;2023-03-12T10:12:18;Grass-roots;neural;service-desk Facilitator;44236;system;2023-03-12T18:49:41;strategy
10;redundant;43029;68985;2023-03-13T09:00:00;solid Chips Iowa;Creative;structure reinvent;27800;olive Legacy;2023-03-12T10:53:32;open-source methodology
