id;type;number;issue_date;exp_date;issuing_authority;doc_url;employee_id;company_id;status;last_modified;last_modified_by
1;Pound;Unbranded Fresh Handcrafted;2023-03-12T22:49:51;2023-03-12T14:20:41;Jewelery;vertical Representative;49797;3634;optimizing;2023-03-13T02:40:13;Fresh syndicate
2;executive scalable;Bacon Borders;2023-03-12T13:58:33;2023-03-12T15:03:06;Card Cambridgeshire Rustic;deg Minnesota Guinea;53343;78105;Bedfordshire;2023-03-12T14:45:36;Diverse grow Naira
3;Frozen;firmware;2023-03-12T22:20:25;2023-03-12T12:35:43;deposit HDD;Guinea communities;98973;8968;architect Vatu;2023-03-12T23:56:09;array Dynamic
4;Concrete Ergonomic Factors;zero;2023-03-12T23:11:54;2023-03-13T07:24:38;Fantastic;user-centric Investment orange;39132;5538;Shore;2023-03-13T05:06:44;maroon Director
5;5th;indexing Forward;2023-03-12T14:38:25;2023-03-13T07:09:40;group Intelligent;XSS backing Tuna;29645;28546;Investor Pizza;2023-03-12T18:23:25;Romania Keyboard policy
6;panel Fantastic;deposit radical recontextualize;2023-03-13T05:38:24;2023-03-12T14:27:04;Organized innovative;driver;13443;3913;SQL;2023-03-12T18:14:24;Loan Islands
7;motivating;24/365 up port;2023-03-12T11:48:43;2023-03-12T14:33:36;Wells optical California;Concrete;43075;32991;Handcrafted Legacy;2023-03-12T18:43:37;haptic Cameroon
8;overriding Ridge panel;Bacon Avon;2023-03-12T22:01:07;2023-03-13T01:31:20;Pennsylvania Manor;generating;98850;68550;alarm;2023-03-12T09:24:57;Progressive success
9;Cheese Forward;Metal tan;2023-03-13T04:55:25;2023-03-13T06:04:50;feed robust Solutions;magenta;57315;19928;collaboration payment AI;2023-03-12T12:19:54;Ergonomic iterate
10;Meadow Shoes;generate Loan;2023-03-13T03:29:39;2023-03-12T21:39:40;whiteboard calculating;bypass withdrawal;83428;53667;Chicken system program;2023-03-13T05:38:32;Buckinghamshire Group North
