id;employee_id;reporting_emp_id;status;reporting_str_id;last_modified;last_modified_by;company_id
1;20632;73192;success compress;42769;2023-02-08T05:03:53;leading-edge Fish;91694
2;3736;93466;Shoes;71538;2023-02-08T11:43:37;Yen Refined Steel;40797
3;96823;3279;Mississippi;49511;2023-02-08T20:49:15;mission-critical redundant relationships;57019
4;61163;11857;Minnesota;21167;2023-02-08T20:41:01;Monaco bandwidth solutions;29114
5;41055;83334;Won;79307;2023-02-08T11:37:03;invoice Rubber Usability;79084
6;67248;22412;web-readiness;68577;2023-02-08T22:50:02;GB brand;62912
7;30506;90594;even-keeled Marketing;44310;2023-02-08T15:24:51;envisioneer mobile;86638
8;29309;42717;Concrete Mouse Niue;46978;2023-02-08T08:21:50;reboot Innovative Paradigm;48005
9;9888;6334;Springs;71416;2023-02-08T22:28:41;Cotton withdrawal Pants;63381
10;15729;12607;invoice;45154;2023-02-08T13:33:59;driver;46479
