id;type;approval_category;company_id;status;last_modified;last_modified_by
1;systemic Director;72322;81007;interface;2023-02-08T15:39:01;override
2;asynchronous;97809;40470;Fantastic redundant XML;2023-02-08T20:18:16;benchmark
3;array niches Shirt;90126;68710;withdrawal multi-byte;2023-02-08T09:31:22;pixel Gloves Cotton
4;payment foreground;88506;3544;Practical;2023-02-08T23:58:23;Frozen e-markets Franc
5;pink online Borders;79493;55193;Granite Central Checking;2023-02-08T06:10:12;Multi-lateral Senior fresh-thinking
6;override;30755;85860;Account;2023-02-09T03:37:28;algorithm architecture
7;engage Coordinator synthesize;16523;70991;Slovenia;2023-02-08T23:16:33;Bedfordshire quantify
8;synergistic Chief;62155;5365;Computer Concrete Digitized;2023-02-08T09:29:57;Buckinghamshire Practical
9;Clothing Specialist;29387;71582;bandwidth metrics Berkshire;2023-02-09T02:30:38;Mississippi
10;Associate Assurance Inverse;1731;75533;firmware;2023-02-08T07:34:30;transmitting
