id;doc_type;doc_category;file_name;content_type;file_uuid;folder_uuid;ref_table;ref_table_id;company_id;status;last_modified;last_modified_by
1;invoice Tanzanian;Fantastic National;Gourde hacking;Serbia Salvador Maine;Afghani;Investor;hacking Intelligent hack;54179;73826;black;2023-03-13T06:52:25;Dollar
2;white;Human Cambridgeshire;sensor Account;Money copy;Handmade;adapter Metal;Games;60007;89313;sensor Tactics Cambridgeshire;2023-03-12T18:00:11;Metal bricks-and-clicks
3;turquoise scalable Beauty;back;Georgia Unbranded New;Tactics New Plastic;grey Focused;Engineer stable deposit;Israel;49451;38198;Cameroon Estonia Bulgarian;2023-03-12T14:36:31;Persevering withdrawal
4;Concrete Shirt Sleek;payment;Customer Industrial Unbranded;Plastic deposit;Investor Inverse redefine;Soft systems;Function-based Ford Incredible;1293;8010;Maine optimizing;2023-03-12T20:51:02;Iowa Books Card
5;turquoise Tools transparent;Plastic invoice;scale;disintermediate;Grocery CSS online;matrix Dynamic context-sensitive;alarm;35529;67629;Factors;2023-03-12T16:33:07;back-end Industrial bypass
6;Connecticut California open-source;Handmade reboot Executive;Zambia optical withdrawal;Moroccan;matrix front-end Realigned;Product experiences port;networks efficient parse;81161;9275;Computer;2023-03-12T14:37:06;technologies motivating Bermuda
7;withdrawal Buckinghamshire;Accountability program Electronics;e-business connecting Louisiana;Platinum Wooden IB;Clothing open-source;bluetooth;Handmade;82545;41708;challenge copy parse;2023-03-12T23:53:56;driver Configuration Internal
8;Chief driver;online Awesome;Web Steel Soft;indigo;system;Soft Producer;Taka;49730;28642;array Movies Gloves;2023-03-12T16:47:22;Croatia deposit management
9;synthesizing;asynchronous;supply-chains HTTP multimedia;SSL bandwidth;Tanzanian;compress;Down-sized;82756;82680;PNG convergence dynamic;2023-03-13T05:44:07;panel Granite
10;service-desk;bricks-and-clicks global Italy;SAS JSON Frozen;Global;Balanced Programmable;customized;bandwidth Account;8671;3218;Chips;2023-03-12T17:17:54;contingency Frozen Designer
