id;name;company_id;status;last_modified;last_modified_by
1;Virtual;72699;Rupee AGP engage;2023-02-08T20:16:35;Incredible
2;open-source;15186;TCP Tasty navigating;2023-02-09T00:27:02;e-markets Awesome
3;France Specialist Avon;60480;Dominica;2023-02-08T21:13:17;Slovakia
4;Won;84668;Investment;2023-02-08T17:51:08;User-friendly
5;Toys encompassing deposit;99928;Auto;2023-02-08T15:07:46;Cotton withdrawal capacity
6;protocol web-enabled;80914;Cross-platform markets Investor;2023-02-09T02:11:51;Loan Account mint
7;asynchronous Card;75802;model;2023-02-08T05:34:08;Dram
8;USB RAM online;15356;Iceland Assurance asymmetric;2023-02-08T20:30:39;Fundamental matrix Lithuania
9;Baby;86236;salmon;2023-02-08T22:44:38;Licensed national
10;Chair Tuna;3648;interactive Tuna experiences;2023-02-09T02:02:08;Regional neural hack
