id;employee_id;reporting_emp_id;reporting_id;company_id;status;last_modified;last_modified_by
1;33792;92044;6820;4404;Alabama Legacy Books;2023-03-12T14:39:16;Cambridgeshire
2;86256;92892;4424;70384;Vermont;2023-03-12T15:33:58;Internal
3;67504;1996;30734;31272;Leone;2023-03-12T17:14:25;GB withdrawal Keyboard
4;14448;20267;79286;14157;Operations frictionless;2023-03-12T21:48:31;Keyboard
5;81153;17175;76165;39414;Dynamic Sleek HTTP;2023-03-12T10:39:44;Toys
6;84757;29829;95279;5275;implement Assistant Corporate;2023-03-12T20:29:51;overriding Manors
7;61802;507;94409;58624;Gibraltar lime Soft;2023-03-12T14:21:27;Dynamic Avon
8;97859;45625;49744;83391;1080p magnetic invoice;2023-03-12T22:50:04;impactful Customer
9;31593;90962;43626;87069;Avon Oregon bifurcated;2023-03-13T08:27:32;Avon
10;63207;41872;10949;64790;Turkey Managed Assurance;2023-03-12T13:55:44;Islands Metal
