id;region_name;description;region_id;company_id;status;last_modified;last_modified_by
1;International Practical;Jordanian;56433;4408;Engineer schemas content-based;2023-02-08T14:23:38;Practical
2;Gorgeous;payment Refined payment;78567;12158;California;2023-02-08T07:05:47;New state SCSI
3;optical;Virginia Small;62851;45379;Cambridgeshire;2023-02-08T05:42:19;system withdrawal
4;Coordinator scale open-source;Spring connecting Tuna;40705;59368;orange;2023-02-09T00:23:13;pixel
5;Baby Refined;incremental;3071;84652;Kuwait;2023-02-09T02:04:12;Connecticut Serbia
6;attitude;Bedfordshire Health;80284;11989;haptic Garden magenta;2023-02-08T17:39:39;Savings
7;Operations green mobile;global;44539;15812;Fish Cambridgeshire;2023-02-08T06:56:59;Australian black
8;deposit;Aruba Rhode;633;94819;Pitcairn;2023-02-08T21:11:45;SDD
9;state web-enabled;Avon Bike;91656;33282;Avenue Future;2023-02-08T15:18:28;Automotive Cambridgeshire navigating
10;hardware;front-end global;84821;34298;Hungary;2023-02-08T12:51:25;Bike Metal neural
