id;salary_type;amount;payment_type;employe_id;company_id;status;last_modified;last_modified_by
1;bluetooth Lev;90159;approach actuating;58851;76490;e-services deposit Ways;2023-02-27T02:42:34;Bedfordshire violet sensor
2;quantifying;61127;e-markets Steel;50310;85616;cultivate Forward;2023-02-26T07:19:44;Movies
3;Pizza Implementation Generic;87719;engage;18500;90142;bypassing hybrid Computer;2023-02-27T03:49:22;Democratic navigating Cross-group
4;standardization Mouse Taka;27389;Bahamas platforms deposit;81422;77404;Franc International Hat;2023-02-26T10:06:21;Concrete
5;Focused Beauty Palau;17526;Profit-focused;20708;84456;olive;2023-02-26T08:01:47;Idaho Philippines
6;Camp Practical conglomeration;9620;deliver Granite;88487;2994;Books;2023-02-26T22:29:34;Avon
7;parsing;62033;Executive Riel analyzing;28461;33292;Group redundant portals;2023-02-26T15:40:04;Global Identity access
8;Investment Practical;66814;Kyat overriding;47852;97173;Movies up invoice;2023-02-26T15:23:54;Generic AGP initiative
9;Handcrafted Hat collaborative;15382;Infrastructure;31600;60885;Response;2023-02-26T07:13:32;Dollar Cheese
10;Arkansas synthesize;76877;strategize;3408;85201;Bacon interactive;2023-02-26T13:44:53;Direct challenge Haven
