id;name;department_id;company_id;status;last_modified;last_modified_by
1;Liaison alarm Market;2507;64905;Fresh withdrawal;2023-02-08T13:30:29;incremental
2;Dollar District;29018;55307;deposit Cambridgeshire Rupee;2023-02-08T05:06:57;digital
3;hack Pataca teal;65168;25411;quantifying;2023-02-08T17:54:27;silver hacking
4;Lead;91596;38755;scalable back-end Berkshire;2023-02-09T01:51:14;interface invoice
5;Centers optical Soap;54831;22161;Integration Central;2023-02-09T00:12:11;Colorado
6;Ergonomic;73170;6334;Auto Intelligent RAM;2023-02-08T11:45:16;Cross-platform
7;Buckinghamshire;75621;45831;architecture;2023-02-09T04:04:27;District York
8;schemas Market neural-net;4239;33283;Illinois Checking Rubber;2023-02-08T17:45:50;Granite Dynamic
9;Steel mint data-warehouse;66534;86954;hacking;2023-02-09T03:25:54;mesh plug-and-play orchestrate
10;Plastic;22947;31140;Loan Lead withdrawal;2023-02-08T21:55:46;Incredible Salad
