id;da;hra;employee_share;company_share;company_id;status;last_modified;last_modified_by
1;90856;37387;70291;26242;94693;state Buckinghamshire Designer;2023-02-09T00:26:28;groupware Shoes Account
2;47348;79902;59123;85067;14080;tan;2023-02-09T02:56:49;Kids
3;78938;6931;13072;90433;71433;backing Florida;2023-02-08T18:00:09;synthesize Toys deposit
4;19634;51191;38306;9284;43033;B2B Ramp;2023-02-09T03:21:50;index Washington
5;91896;47629;93686;51548;68346;Investment;2023-02-08T09:02:51;bus
6;89271;7711;29350;61624;4133;Identity Avon Producer;2023-02-09T02:04:06;unleash Persistent
7;49359;61647;96809;3500;94492;programming;2023-02-08T15:44:20;yellow generating
8;15104;98470;77183;45424;20455;Yen;2023-02-08T18:50:30;hacking Legacy Engineer
9;35064;68407;50290;56980;50054;parsing Ford Licensed;2023-02-08T20:27:59;extend Account transparent
10;97215;9530;7046;44804;40434;connect deposit;2023-02-08T17:49:50;open-source Wells firewall
