id;custom_policy_name;leave_policy_id;days;company_id;status;last_modified;last_modified_by
1;architectures;41208;91096;17000;empower Books;2023-03-12T19:38:05;Oklahoma
2;Producer;24420;78426;83415;Saint Plastic;2023-03-12T14:56:55;channels
3;Gorgeous;5269;80768;93358;Wooden methodologies navigate;2023-03-13T06:34:52;Coordinator
4;hard Enterprise-wide morph;5896;7835;1193;reboot parsing input;2023-03-13T08:10:47;panel
5;world-class Customer multi-tasking;41160;47720;68019;Rica Operations;2023-03-12T12:45:30;calculate
6;Inverse;81526;70627;42861;Persevering;2023-03-12T18:00:41;Car
7;Balboa Granite;14880;78749;52909;Money;2023-03-13T05:07:22;e-markets Rubber Re-engineered
8;reciprocal;53039;6717;40773;invoice applications violet;2023-03-13T05:26:14;deposit
9;red GB;74164;49972;68938;Japan;2023-03-12T17:33:10;Poland
10;deposit functionalities;2386;89908;13086;Producer;2023-03-12T10:48:18;Franc bluetooth digital
