id;approver_name;last_modified;last_modified_by;status;approval_setting_id;department_id;company_id
1;Kansas Wyoming Investor;2023-02-09T01:15:06;JBOD coherent;Granite granular;14425;39108;59875
2;Metal SMTP Gloves;2023-02-09T03:51:00;Borders Keyboard monitor;vertical input;97399;52532;30882
3;violet Pants;2023-02-09T02:46:31;Health Small Cape;Agent transform Dalasi;11820;2659;95436
4;Computers;2023-02-08T06:56:57;Cheese Rustic;focus Internal;72756;17781;13533
5;invoice navigate interfaces;2023-02-09T03:00:54;Turkey;tangible overriding;76461;82239;90427
6;communities;2023-02-08T13:02:13;of Future Shoes;upward-trending;40614;66897;5638
7;haptic Tennessee CSS;2023-02-08T18:18:47;Myanmar;Director;57835;19503;70570
8;infrastructures Bedfordshire hacking;2023-02-08T10:43:41;payment Toys Louisiana;programming lavender Pataca;76629;78909;7342
9;Manat Chicken Berkshire;2023-02-08T06:58:22;Metal Analyst firewall;deliverables Verde connecting;28056;6866;49194
10;invoice Concrete Fresh;2023-02-08T12:05:31;Chips Fantastic;Cliff;13109;94435;34003
