id;no_of_hours;employment_type_id;company_id;status;last_modified;last_modified_by;ref_table;ref_table_id
1;Credit Car Alaska;91619;86942;mesh array eco-centric;2023-03-13T08:28:56;neural Generic;Frozen;30501
2;Vermont Profit-focused Orchestrator;76097;96000;hard Overpass;2023-03-12T15:43:26;Frozen Futuna Tactics;frictionless 6th transmitting;30681
3;systems Specialist array;73096;932;connect Berkshire base;2023-03-12T18:39:34;Stream indexing;Kentucky;83967
4;Infrastructure red for;75574;74949;bluetooth Representative;2023-03-12T23:34:26;input;relationships;11348
5;support Architect generation;16707;31256;white revolutionary Soft;2023-03-12T12:45:46;Configuration auxiliary Principal;Macedonia ivory;43359
6;Keyboard primary;40915;2448;circuit Maldives generate;2023-03-12T10:39:25;PNG Idaho niches;overriding Practical;84380
7;Phased;42100;1122;Connecticut Island;2023-03-12T15:38:29;back-end secondary withdrawal;Uzbekistan bluetooth;62029
8;Shoes real-time Factors;20151;25574;Extensions withdrawal;2023-03-13T08:56:19;1080p Hill Unbranded;haptic panel;26009
9;Chicken Strategist;34410;80405;Barbados withdrawal;2023-03-12T18:20:03;Mouse;toolset circuit;78818
10;hub THX;55016;39157;Table directional Representative;2023-03-12T15:55:50;deposit;customized yellow Lev;14093
