id;branch_name;description;branchcode;branch_type;web_site;branch_id;region_id;company_id;status;last_modified;last_modified_by
1;protocol Pound;Guinea-Bissau;sensor black;virtual Associate Tools;model;6248;16309;47984;Communications tolerance Refined;2023-02-08T06:53:08;Salad systems
2;Frozen Facilitator;open-source Extension payment;Maryland;technologies Officer;Sausages;23947;85563;95111;Bike;2023-02-09T01:16:41;paradigm complexity
3;dynamic Missouri;Chief Research;Product Argentina utilisation;blockchains User;e-commerce intermediate Island;79515;3169;94235;Account Ameliorated application;2023-02-08T12:21:42;Assistant HDD
4;quantifying monitor;Director Corporate feed;Internal Baby;National Analyst;dedicated;83385;86569;87413;strategic Buckinghamshire;2023-02-08T07:42:01;invoice Account
5;Sleek Group;neural Djibouti;program optical;iterate pixel withdrawal;Clothing Research;17673;37120;79512;bypassing Optimized Cambridgeshire;2023-02-08T15:28:52;reboot Data Profound
6;Planner;Vision-oriented Baby navigate;Cheese;CSS flexibility orchestrate;Profit-focused array Universal;38824;39118;35437;Loan;2023-02-08T21:46:07;open-source
7;Program;fuchsia Malawi;withdrawal e-tailers installation;Kwanza monitor red;Games Mouse Salad;90933;46658;76732;heuristic Guernsey;2023-02-08T08:55:07;Republic bypassing
8;Washington Ranch Cambridgeshire;Engineer Sleek;Louisiana;Azerbaijan Intuitive overriding;Money whiteboard Operative;97495;80478;28314;compressing;2023-02-08T11:34:14;online application
9;analyzing Engineer;front-end parse Somoni;Infrastructure firewall;Handcrafted;parsing Idaho Nevada;93094;84458;29555;copying transmitting;2023-02-08T07:53:44;flexibility
10;Program Re-contextualized overriding;Hawaii Usability;Buckinghamshire calculating calculate;invoice virtual;Crest Handcrafted Rustic;80746;10822;51860;Rustic;2023-02-08T22:13:29;compress card Analyst
