id;holiday_name;holiday_date;day;year;company_id;status;last_modified;last_modified_by
1;scale Function-based optimize;2023-02-08T06:36:50;haptic;2023-02-08T19:43:24;39884;transform transmitter deposit;2023-02-09T00:30:34;Intelligent Granite navigate
2;Facilitator Account;2023-02-08T14:24:09;Slovakia;2023-02-08T20:42:38;37836;Assurance;2023-02-08T14:32:10;Personal
3;Peso;2023-02-08T14:58:40;Samoa Tactics Account;2023-02-08T20:02:10;49393;mission-critical;2023-02-08T20:00:14;incubate Ergonomic
4;withdrawal;2023-02-08T04:48:44;Coordinator;2023-02-08T23:13:36;91359;online;2023-02-08T09:11:02;Practical Plastic
5;Internal coherent;2023-02-08T09:25:59;District Sum Checking;2023-02-08T17:31:47;83183;innovative Officer;2023-02-08T17:51:33;Electronics Plastic array
6;Re-contextualized;2023-02-08T11:18:04;client-server frame;2023-02-08T23:23:24;21726;Cotton Bedfordshire hard;2023-02-08T06:05:42;value-added Plastic
7;JBOD sensor;2023-02-08T04:49:04;Oklahoma Buckinghamshire circuit;2023-02-08T16:33:01;19402;Wooden supply-chains;2023-02-08T17:46:38;Rustic Chilean
8;Radial Chips contingency;2023-02-08T12:19:56;protocol;2023-02-08T07:33:14;23631;Automated Mexico Car;2023-02-09T04:20:30;bypassing Liaison
9;capability wireless;2023-02-08T10:55:59;grid-enabled;2023-02-08T15:53:12;10748;Account;2023-02-08T23:00:49;navigating seize Frozen
10;Cotton invoice transmit;2023-02-08T17:38:39;HTTP multi-byte;2023-02-09T04:13:34;86552;Avon reboot;2023-02-09T02:43:28;Squares
