id;carried_leaves;credited_leaves;date;balance;company_id;status;last_modified;last_modified_by
1;32177;78241;2023-03-13T00:45:59;64421;9230;Integration sky;2023-03-12T10:41:09;white
2;4070;95891;2023-03-12T09:26:40;25516;42723;Buckinghamshire;2023-03-13T02:08:48;payment Philippines
3;53087;74600;2023-03-12T21:30:18;34942;88831;methodologies Rustic;2023-03-12T11:51:38;invoice Road deposit
4;92869;83925;2023-03-12T19:45:33;99183;66638;up hub productivity;2023-03-12T11:14:41;Digitized
5;29843;30529;2023-03-12T16:24:06;62782;8227;Rustic payment;2023-03-13T07:57:54;help-desk Organic
6;86094;22116;2023-03-13T00:14:39;43899;79988;synthesize Washington;2023-03-13T07:58:36;payment Estate
7;74490;31221;2023-03-13T04:59:56;73886;50376;Rhode Georgia;2023-03-12T22:08:36;Haven
8;82563;79699;2023-03-12T11:47:24;95565;69033;deposit synergy;2023-03-12T17:39:03;connect user-facing Cambridgeshire
9;45478;78880;2023-03-13T08:04:54;26984;44653;Dakota Checking AI;2023-03-13T08:13:44;Account Toys lavender
10;7064;85012;2023-03-13T01:57:33;10358;59527;Security;2023-03-12T21:03:43;Plastic
