id;company_name;contact_person;postal_code;email;phone_number;mobile_number;website_url;fax;reg_number;status;last_modified;last_modified_by;leave_setting_level
1;Isle;benchmark;Loan payment;Esther47@yahoo.com;drive withdrawal Frozen;override Account Handcrafted;matrix;schemas Electronics;Research Automotive explicit;Steel JBOD Greece;2023-02-08T12:33:31;e-markets;Central standardization
2;Towels Tuna architecture;Philippines;CSS;Cheyanne.Borer@yahoo.com;District Graphic;next-generation viral;Concrete Synergized;Central Investment Extensions;Car;Bacon architectures;2023-02-08T07:33:20;generating Bedfordshire;Computer
3;quantify;interactive local;Sausages Azerbaijanian;Thora_Reichel59@yahoo.com;redundant;structure payment;eco-centric Borders;Pants;dynamic indexing RAM;Ruble Gorgeous mobile;2023-02-08T20:21:33;harness leverage;Frozen Berkshire Toys
4;tan;product clicks-and-mortar Handcrafted;Mississippi;Sven61@hotmail.com;Frozen Utah Account;Refined paradigms program;Shirt;Tunisian green streamline;Tasty responsive;Generic content-based;2023-02-08T13:49:17;generating Soap;capability Markets Metal
5;Gabon;web;deposit program Gorgeous;Jaylin.Daniel@hotmail.com;out-of-the-box copy;Cotton;Checking;FTP Fish;digital Squares;transmitter Gorgeous;2023-02-08T07:27:34;asynchronous;Integrated
6;bypassing ROI;Intranet Iowa;transmitting driver generating;Jordane.Gottlieb96@hotmail.com;Spain;Internal deliver;hardware Practical payment;Spring Gateway pixel;Data compelling;Savings Avon;2023-02-08T07:53:33;Keyboard Object-based;Baby
7;Future Unbranded Granite;Planner District;transmitter Product;Lucile41@gmail.com;Baby;Human;bricks-and-clicks Legacy;holistic capability Focused;Accountability Cameroon;navigate indexing COM;2023-02-09T01:35:39;Rubber Regional;Applications Michigan
8;calculating;application Mouse deposit;Mission India JSON;Dorothea_Harris25@gmail.com;functionalities teal Computer;card;Associate;info-mediaries;Cambridgeshire;hard Tasty Fish;2023-02-08T19:41:49;Health Orchestrator;Orchestrator driver
9;Self-enabling;Australia;hacking analyzer;Darrel.Hansen99@hotmail.com;Computer fuchsia parse;Micronesia;deposit Re-contextualized;Self-enabling;Human Corporate connecting;Direct invoice New;2023-02-08T12:06:01;Ball intangible;wireless plum navigate
10;generating channels Corner;open-source Mouse;parse;Chanelle_Goyette@yahoo.com;Organic;programming attitude-oriented Togo;target;payment Right-sized Principal;Gorgeous Tools Licensed;Chicken Division;2023-02-08T23:36:50;Chips;Persistent Mountains Loan
