id;salary_from;salary_to;percentage;salary_setting_id;company_id;status;last_modified;last_modified_by
1;2023-02-08T14:56:33;2023-02-08T14:20:12;79955;75045;80376;payment Table;2023-02-08T20:32:58;deposit
2;2023-02-08T08:17:47;2023-02-08T19:11:07;75769;28124;40533;Solomon pixel;2023-02-08T22:20:23;Tajikistan Berkshire capacitor
3;2023-02-08T08:43:59;2023-02-08T16:15:46;75394;23647;64188;Home;2023-02-08T17:25:47;Loan
4;2023-02-09T01:38:01;2023-02-08T06:12:29;39196;28488;26266;front-end Open-architected navigating;2023-02-09T04:24:22;Lats
5;2023-02-09T04:24:45;2023-02-08T23:34:46;21919;27510;77893;Frozen Cheese;2023-02-08T17:22:23;Stream
6;2023-02-08T12:28:16;2023-02-08T06:48:39;7003;70436;38690;sensor Global Chips;2023-02-08T18:36:29;index
7;2023-02-08T11:04:10;2023-02-09T01:06:29;26197;30453;46862;Maryland hub;2023-02-09T01:11:13;sky Chair
8;2023-02-09T02:59:48;2023-02-09T02:02:06;77596;58707;17088;integrate Technician;2023-02-08T13:30:50;Self-enabling Berkshire
9;2023-02-09T04:15:10;2023-02-08T22:09:40;25424;89714;91067;Soft Island;2023-02-08T08:24:38;virtual Small client-server
10;2023-02-08T12:42:34;2023-02-08T07:29:26;46628;59629;2332;Communications Handmade Engineer;2023-02-08T20:08:10;circuit indexing program
