id;check_in;check_out;date;has_checked_in;company_id;status;last_modified;last_modified_by
1;2023-03-12T16:56:22;2023-03-13T05:40:14;2023-03-12T23:32:08;false;90335;synthesize;2023-03-12T16:21:47;grey Shoes
2;2023-03-12T16:28:50;2023-03-13T05:41:17;2023-03-12T18:23:07;false;94408;Frozen;2023-03-12T11:25:36;attitude-oriented
3;2023-03-12T10:46:55;2023-03-13T01:59:57;2023-03-12T15:33:35;false;24716;methodologies;2023-03-13T06:43:01;Account Handmade User-friendly
4;2023-03-12T10:35:56;2023-03-12T20:33:07;2023-03-12T16:32:53;false;8160;grow;2023-03-12T17:44:49;Clothing Cheese
5;2023-03-12T21:49:39;2023-03-13T03:14:10;2023-03-12T10:10:06;false;96621;functionalities disintermediate National;2023-03-12T20:51:24;Account
6;2023-03-13T01:33:50;2023-03-13T08:35:19;2023-03-13T05:39:46;true;32279;Marketing Manager;2023-03-12T16:22:10;override
7;2023-03-13T05:35:22;2023-03-13T06:57:17;2023-03-12T14:39:09;false;12035;Proactive bypassing;2023-03-12T13:56:49;Market markets
8;2023-03-12T21:17:19;2023-03-12T19:19:47;2023-03-12T17:20:08;true;80493;Down-sized Regional;2023-03-12T17:41:26;Senior Agent Metical
9;2023-03-12T18:26:55;2023-03-12T11:06:04;2023-03-12T14:13:12;false;35436;neural Accountability Account;2023-03-13T08:33:12;navigating
10;2023-03-12T22:41:59;2023-03-12T10:24:44;2023-03-12T14:42:49;true;70319;Human;2023-03-12T17:55:29;drive microchip
