id;leave_type;no_of_days;reason;year;form_date;to_date;leave_status;status;employe_id;company_id;last_modified;last_modified_by
1;Accounts withdrawal;66828;Cambridgeshire e-commerce;71187;2023-02-09T00:30:01;2023-02-08T22:12:33;Up-sized Assistant;virtual;10682;14566;2023-02-08T16:23:02;AI multi-byte
2;Account application;56274;deposit withdrawal Gloves;79446;2023-02-09T04:18:38;2023-02-09T02:04:08;Georgia Producer markets;interface;46933;52418;2023-02-08T15:57:11;Savings Lead ROI
3;Steel Investment Mexico;66146;deposit azure;84850;2023-02-09T02:10:25;2023-02-08T16:58:45;Bedfordshire Small;payment programming microchip;66948;1261;2023-02-08T12:56:17;Interactions Developer
4;mobile Tunisia e-commerce;48976;quantify;36126;2023-02-08T20:20:54;2023-02-09T03:49:08;gold;invoice matrix Dollar;75881;65085;2023-02-08T23:22:21;out-of-the-box Baby tan
5;Group gold;31255;PNG;93754;2023-02-08T13:21:32;2023-02-08T12:16:20;Ohio payment;Latvian silver;23041;98943;2023-02-08T12:09:56;SMTP SMTP Data
6;South synthesizing;42157;Account bluetooth Customer;94362;2023-02-08T11:06:19;2023-02-08T22:26:25;Avon solutions;Loan Reduced;43814;1821;2023-02-08T18:26:39;back-end
7;wireless Rubber;73870;Rubber Nevada blockchains;11705;2023-02-08T13:01:46;2023-02-08T13:31:09;synergy;reboot Car Plastic;99771;93818;2023-02-08T20:32:50;copy
8;Rubber strategize;48263;Plastic radical;36508;2023-02-08T17:20:39;2023-02-08T13:21:09;convergence bypassing Awesome;Soft Future program;18656;87678;2023-02-08T20:31:32;index Plastic bandwidth
9;Terrace drive Crossroad;53566;multi-byte;47982;2023-02-09T03:54:49;2023-02-08T23:57:43;CSS;Loan AI navigating;71003;54449;2023-02-08T13:48:58;pixel Cloned definition
10;Investor Namibia;87392;Applications;92536;2023-02-08T09:05:39;2023-02-08T18:57:51;Locks virtual Solutions;transmit;74976;53349;2023-02-08T05:10:33;card copying
